hhid,upm,nvivi,nhoga,dpto,area,año,fex_2022,facpob,dominio,ipcm,lnipcm,tipo_empleo,tipo_vivienda,tipo_pared,tipo_piso,tipo_techo,tipo_agua_proveedor,tipo_agua_vivienda,tipo_agua_proveedor_beber,tipo_agua_fuente_beber,tipo_banho_desague,tipo_combustible,tipo_basura,tipo_vivienda_propiedad,tipo_hogar,tiene_agua_24hrs,tiene_luz_electrica,tiene_linea_fija,tiene_celular,tiene_banho,tiene_computadora,tiene_tableta,tiene_internet,tiene_internet_cablewifi,tiene_internet_modem,tiene_radio,tiene_televisor,tiene_heladera,tiene_cocina_gas,tiene_cocina_elec,tiene_lavarropas,tiene_videoDVD,tiene_termocalefon,tiene_acondicionador_aire,tiene_antena_parabolica,tiene_tv_cable,tiene_horno_microondas,tiene_horno_electrico,tiene_auto_camion,tiene_motocicleta,tiene_seguro,jefe,jefe_edad,jefe_anios_estudio,jefe_idioma,jefe_tipo_empleo,jefe_estado_civil,jefe_tiene_seguro,nro_dormitorios,nro_trabajo,nro_5menos,nro_6a14,nro_tiene_seguro,totpers,linea_pobreza_total,linea_pobreza_extrema,pobrezai,pobnopoi,pob_total,pob_ext,ipcm_median
10625_20_1,10625,20,1,6,6,2022,36.301285,72.60257,6,693780.6224899576,13.449911,4,1,3,5,4,2,2,2,2,7,1,1,1,3,1,1,0,1,1,0,0,0,,,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,.5,54,6,1,4,1,0,3,1,0,0,0,2,589563,308878,3,0,0,0,1349961.5
10625_22_1,10625,22,1,6,6,2022,36.301285,399.31412,6,214776.8678349755,12.277355,4.3333335,1,3,4,4,2,2,2,2,7,1,1,1,4,1,1,0,1,1,0,0,0,,,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,.090909094,53,3,1,4,1,0,3,3,2,3,0,11,589563,308878,1,1,1,1,1349961.5
10625_27_1,10625,27,1,6,6,2022,36.301285,181.50642,6,191144.1622489954,12.160783,4,1,4,5,4,2,2,2,2,2,1,1,1,4,0,1,0,1,1,0,0,0,,,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,.2,51,2,1,4,1,0,3,1,1,2,0,5,589563,308878,1,1,1,1,1349961.5
10625_28_1,10625,28,1,6,6,2022,36.301285,36.301285,6,1172466.666666663,13.974621,,1,4,5,4,2,2,2,2,3,2,5,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,71,4,1,9,4,0,2,0,0,0,0,1,589563,308878,3,0,0,0,1349961.5
10625_31_1,10625,31,1,6,6,2022,36.301285,72.60257,6,555601.4508032111,13.227806,4.5,1,3,3,4,2,2,2,2,3,1,1,1,2,0,1,0,1,1,0,0,0,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.5,61,5,1,4,1,0,2,2,0,0,0,2,589563,308878,2,1,1,0,1349961.5
10625_34_1,10625,34,1,6,6,2022,36.301285,36.301285,6,981764.2570281094,13.797107,,1,4,4,3,2,2,2,2,2,2,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,80,3,2,9,5,0,1,0,0,0,0,1,589563,308878,3,0,0,0,1349961.5
10625_3_1,10625,3,1,6,6,2022,36.301285,145.20514,6,450195.5391566252,13.017437,4,1,4,4,3,2,1,2,1,2,1,1,1,2,0,1,0,1,1,0,0,0,,,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,.25,52,5,1,4,1,0,2,2,0,2,0,4,589563,308878,2,1,1,0,1349961.5
10636_11_1,10636,11,1,6,6,2022,38.924076,194.62038,6,128962.0302417826,11.767273,4.6666665,1,3,4,4,2,1,2,1,3,1,1,1,5,0,1,0,1,1,0,0,0,,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,.2,57,2,1,4,5,0,2,3,1,0,0,5,589563,308878,1,1,1,1,1349961.5
10636_19_1,10636,19,1,6,6,2022,38.924076,38.924076,6,1276714.37400319,14.0598,3,1,3,2,2,2,5,2,5,6,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,38,5,1,3,5,0,1,1,0,0,0,1,589563,308878,3,0,0,0,1349961.5
10636_20_1,10636,20,1,6,6,2022,38.924076,311.39261,6,224587.4872408293,12.322021,4.5,1,3,1,2,2,1,2,1,7,1,1,1,2,1,1,0,1,1,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,49,3,1,4,2,0,2,2,2,3,0,8,589563,308878,1,1,1,1,1349961.5
