790304,4,1,3,2,1,4,4,4,2,2,2,1,1,6,1,6,1,5,2,1,6,6,6,1,0,0,0,0,0,0,0,1,1,1,1,59,6,1,1,1,1,3,6,6,7,1,1,,1,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
1324543,4,6,3,2,1,3,3,2,2,2,2,1,1,6,6,,1,1,4,1,6,6,6,1,0,0,0,0,1,1,0,1,1,3,5,5,6,5,1,6,1,2,10,1,7,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
1848657,4,6,3,2,1,4,4,4,2,2,1,1,6,6,1,6,6,1,1,6,6,6,1,1,0,0,0,0,0,0,0,1,1,2,2,40,6,1,1,1,1,3,6,6,7,3,,,,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,0
1864465,4,6,2,2,1,4,4,4,2,2,1,1,1,6,1,6,1,3,1,1,6,6,1,1,0,0,0,0,0,0,0,1,1,1,1,60,6,4,1,1,1,3,6,6,7,3,,,,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
2208170,4,6,3,2,1,4,4,4,2,2,1,1,1,6,1,6,1,1,7,1,6,6,6,1,0,0,0,0,0,0,0,1,1,1,1,48,1,2,1,1,1,3,6,6,7,3,,,,6,1,,,1,,,,,,1,8,8,8,8,8,4,0,1,,6,4,6,,,,,,,,,6,1,,,,,0
2272066,4,1,1,3,1,4,3,4,2,2,1,1,1,6,1,6,1,1,1,1,6,6,6,1,0,0,0,0,0,0,0,1,1,1,1,67,6,4,1,1,1,3,2,6,1,3,,,,1,6,6,6,0,6,6,6,6,12,,,,,,,,,,,,,,,,,,,,,,6,6,6,1,6,6,0
2330486,4,6,6,2,2,4,4,3,2,2,1,1,1,6,1,6,1,1,7,1,6,6,6,0,0,0,0,0,0,0,0,1,1,5,3,10,6,5,1,1,1,3,5,1,7,3,,,,6,6,6,6,0,6,4,6,6,7,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
2478474,4,6,2,2,2,4,5,4,5,5,2,1,1,6,1,3,1,1,1,1,6,6,6,1,1,0,0,1,1,1,0,1,1,2,5,6,1,5,2,1,1,3,2,1,7,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
2507197,4,1,3,2,1,4,4,4,2,2,1,1,1,6,1,6,1,3,1,6,6,6,1,1,0,0,0,0,0,0,0,1,1,2,3,14,1,5,2,1,1,4,8,1,7,3,,,,6,6,6,6,0,6,4,6,6,7,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
2528182,4,6,3,2,2,4,4,2,2,2,1,1,1,6,1,6,6,1,1,1,1,6,6,1,0,0,0,0,0,0,0,1,1,2,2,57,6,2,1,1,1,3,3,6,7,3,,,,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
2606619,4,6,2,2,1,4,4,4,2,2,1,1,1,6,1,6,6,1,1,1,6,6,6,1,0,0,0,0,0,0,0,1,1,1,1,49,1,2,1,1,1,3,6,6,7,3,,,,1,1,,,1,,,,,,1,8,8,8,8,8,8,8,1,,6,4,6,,,,,,,,,6,1,,,,,0
2801875,4,6,3,3,2,4,4,4,2,2,1,1,1,6,1,3,1,1,1,1,6,6,1,1,0,1,0,0,1,1,0,1,1,3,3,16,6,5,1,1,1,9,2,1,7,3,,,,6,6,6,6,0,6,4,6,6,7,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,1
2815783,4,6,2,3,2,3,4,4,2,2,2,1,1,6,1,3,1,1,1,1,6,6,1,1,0,0,0,0,0,1,0,1,1,1,1,50,1,1,1,1,1,3,3,6,7,3,,,,6,1,,,1,,,,,,1,7,7,7,7,7,4,0,1,,6,4,6,,,,,,,,,6,6,,,,,0
2830166,4,6,2,1,1,2,1,2,2,2,1,1,1,6,1,6,1,1,1,1,6,6,6,0,0,0,0,0,0,0,0,1,1,1,1,43,6,5,1,1,1,3,6,6,7,3,,,,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
2830170,4,6,2,2,1,4,1,4,2,2,1,1,1,6,1,6,6,1,1,1,6,6,6,0,0,0,0,0,0,0,0,1,1,1,1,57,1,3,1,1,1,3,4,1,7,3,,,,1,1,,,1,,,,,,1,9,9,9,9,9,5,0,1,,6,4,6,,,,,,,,,6,6,,,,,0
2868511,4,6,3,2,2,3,4,2,2,2,1,1,1,6,1,7,1,1,1,1,6,6,6,1,1,1,0,0,1,0,0,1,1,3,5,18,1,5,1,1,1,20,2,1,7,3,,,,6,6,6,6,0,6,4,6,6,7,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,1
2913875,4,6,2,2,1,3,1,2,2,2,1,1,6,6,1,7,1,1,4,1,6,6,1,1,0,0,0,0,0,0,0,1,1,2,3,15,6,5,1,1,1,4,7,1,7,3,,,,6,6,6,6,0,6,4,6,6,7,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
2962143,4,6,5,2,2,4,4,4,2,2,1,1,1,6,1,6,1,1,1,6,6,6,6,1,0,0,0,0,0,0,0,1,1,3,3,13,1,5,1,1,1,4,7,1,7,3,,,,6,6,6,6,0,6,4,6,6,7,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
3496810,4,6,5,2,1,4,4,1,2,2,1,1,1,6,1,6,1,1,1,1,6,6,6,0,0,0,0,0,0,0,0,1,1,2,2,47,1,1,1,6,6,,,,7,3,,,,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,0
3564565,4,6,3,2,1,4,5,4,2,2,2,1,1,6,1,3,1,1,1,1,6,6,1,1,0,1,0,1,0,0,1,1,1,2,2,42,6,1,1,1,1,3,5,6,7,3,,,,1,6,6,6,0,6,3,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,1
3566235,4,1,2,2,1,4,4,4,7,6,4,1,1,6,1,6,1,3,1,6,6,6,6,1,0,0,0,0,0,0,0,1,1,1,1,44,6,5,1,1,1,3,6,6,7,3,,,,1,1,,,0,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,0
3736855,4,6,0,5,2,4,5,6,2,2,2,1,1,6,1,3,1,1,1,1,1,6,1,1,0,1,0,1,1,1,0,1,1,2,9,24,1,5,2,1,1,17,4,1,7,3,,,,6,1,,,1,,,,,,1,6,6,6,6,6,6,0,1,,6,4,6,,,,,,,,,6,1,,,,,1
